# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>
# KOK DENUT HELEN NIK ELSIK CIV LNO SPI SOPOK PITES ROUSY
# EBBR 25R
EBBR,19,PITES,HELEN,1
EBBR,19,PITES,NIK,1
EBBR,19,PITES,ELSIK,1
EBBR,19,PITES,CIV,2
EBBR,19,PITES,LNO,2
EBBR,19,PITES,SPI,2
EBBR,19,PITES,SOPOK,2
EBBR,19,PITES,PITES,2
EBBR,19,PITES,ROUSY,2
#
EBBR,19,ROUSY,KOK,1
EBBR,19,ROUSY,DENUT,1
EBBR,19,ROUSY,HELEN,1
EBBR,19,ROUSY,NIK,1
EBBR,19,ROUSY,ELSIK,1
EBBR,19,ROUSY,CIV,2
EBBR,19,ROUSY,LNO,2
EBBR,19,ROUSY,SPI,2
EBBR,19,ROUSY,SOPOK,2
EBBR,19,ROUSY,PITES,2
EBBR,19,ROUSY,ROUSY,2
#
# EBBR 25L ----------------------------
EBBR,25L,KOK,KOK,2
EBBR,25L,KOK,DENUT,2
EBBR,25L,KOK,HELEN,2
EBBR,25L,KOK,NIK,2
EBBR,25L,KOK,ELSIK,2
EBBR,25L,KOK,CIV,2
EBBR,25L,KOK,LNO,1
EBBR,25L,KOK,SPI,1
EBBR,25L,KOK,SOPOK,1
EBBR,25L,KOK,PITES,1
EBBR,25L,KOK,ROUSY,1
# 
EBBR,25L,DENUT,KOK,2
EBBR,25L,DENUT,DENUT,2
EBBR,25L,DENUT,HELEN,2
EBBR,25L,DENUT,NIK,2
EBBR,25L,DENUT,ELSIK,2
EBBR,25L,DENUT,CIV,2
EBBR,25L,DENUT,LNO,1
EBBR,25L,DENUT,SPI,1
EBBR,25L,DENUT,SOPOK,1
EBBR,25L,DENUT,PITES,1
EBBR,25L,DENUT,ROUSY,1
#
EBBR,25L,NIK,KOK,2
EBBR,25L,NIK,DENUT,2
EBBR,25L,NIK,HELEN,2
EBBR,25L,NIK,NIK,2
EBBR,25L,NIK,ELSIK,2
EBBR,25L,NIK,CIV,2
EBBR,25L,NIK,LNO,1
EBBR,25L,NIK,SPI,1
EBBR,25L,NIK,SOPOK,1
EBBR,25L,NIK,PITES,1
EBBR,25L,NIK,ROUSY,1
#
EBBR,25L,ELSIK,KOK,2
EBBR,25L,ELSIK,DENUT,2
EBBR,25L,ELSIK,HELEN,2
EBBR,25L,ELSIK,NIK,2
EBBR,25L,ELSIK,ELSIK,2
EBBR,25L,ELSIK,CIV,2
EBBR,25L,ELSIK,LNO,1
EBBR,25L,ELSIK,SPI,1
EBBR,25L,ELSIK,SOPOK,1
EBBR,25L,ELSIK,PITES,1
EBBR,25L,ELSIK,ROUSY,1
#
EBBR,25L,CIV,KOK,2
EBBR,25L,CIV,DENUT,2
EBBR,25L,CIV,HELEN,2
EBBR,25L,CIV,NIK,2
EBBR,25L,CIV,ELSIK,2
EBBR,25L,CIV,CIV,2
EBBR,25L,CIV,LNO,1
EBBR,25L,CIV,SPI,1
EBBR,25L,CIV,SOPOK,1
EBBR,25L,CIV,PITES,1
EBBR,25L,CIV,ROUSY,1
#
EBBR,25L,LNO,KOK,1
EBBR,25L,LNO,DENUT,1
EBBR,25L,LNO,HELEN,1
EBBR,25L,LNO,NIK,1
EBBR,25L,LNO,ELSIK,1
EBBR,25L,LNO,CIV,1
EBBR,25L,LNO,LNO,2
EBBR,25L,LNO,SPI,2
EBBR,25L,LNO,SOPOK,2
EBBR,25L,LNO,PITES,2
EBBR,25L,LNO,ROUSY,2
#
EBBR,25L,SPI,KOK,1
EBBR,25L,SPI,DENUT,1
EBBR,25L,SPI,HELEN,1
EBBR,25L,SPI,NIK,1
EBBR,25L,SPI,ELSIK,1
EBBR,25L,SPI,CIV,1
EBBR,25L,SPI,LNO,2
EBBR,25L,SPI,SPI,2
EBBR,25L,SPI,SOPOK,2
EBBR,25L,SPI,PITES,2
EBBR,25L,SPI,ROUSY,2
#
EBBR,25L,SOPOK,KOK,1
EBBR,25L,SOPOK,DENUT,1
EBBR,25L,SOPOK,HELEN,1
EBBR,25L,SOPOK,NIK,1
EBBR,25L,SOPOK,ELSIK,1
EBBR,25L,SOPOK,CIV,1
EBBR,25L,SOPOK,LNO,2
EBBR,25L,SOPOK,SPI,2
EBBR,25L,SOPOK,SOPOK,2
EBBR,25L,SOPOK,PITES,2
EBBR,25L,SOPOK,ROUSY,2
#
EBBR,25L,PITES,KOK,1
EBBR,25L,PITES,DENUT,1
EBBR,25L,PITES,HELEN,1
EBBR,25L,PITES,NIK,1
EBBR,25L,PITES,ELSIK,1
EBBR,25L,PITES,CIV,1
EBBR,25L,PITES,LNO,2
EBBR,25L,PITES,SPI,2
EBBR,25L,PITES,SOPOK,2
EBBR,25L,PITES,PITES,2
